category,accuracy,grp_size,gt_id,run_id
crude,0.7834224598930482,374,f4b610f9-5bfd-499-GT_TOPIC_crude,f4b610f9-5bfd-499
veg-oil,0.8666666666666667,30,f4b610f9-5bfd-499-GT_TOPIC_veg-oil,f4b610f9-5bfd-499
potato,0.6,5,f4b610f9-5bfd-499-GT_TOPIC_potato,f4b610f9-5bfd-499
acq,0.8704188481675392,2292,f4b610f9-5bfd-499-GT_TOPIC_acq,f4b610f9-5bfd-499
alum,0.86,50,f4b610f9-5bfd-499-GT_TOPIC_alum,f4b610f9-5bfd-499
fuel,0.6363636363636364,11,f4b610f9-5bfd-499-GT_TOPIC_fuel,f4b610f9-5bfd-499
cpi,0.704225352112676,71,f4b610f9-5bfd-499-GT_TOPIC_cpi,f4b610f9-5bfd-499
meal-feed,1.0,11,f4b610f9-5bfd-499-GT_TOPIC_meal-feed,f4b610f9-5bfd-499
lumber,1.0,14,f4b610f9-5bfd-499-GT_TOPIC_lumber,f4b610f9-5bfd-499
hog,1.0,1,f4b610f9-5bfd-499-GT_TOPIC_hog,f4b610f9-5bfd-499
coffee,0.9553571428571429,112,f4b610f9-5bfd-499-GT_TOPIC_coffee,f4b610f9-5bfd-499
carcass,0.9090909090909091,11,f4b610f9-5bfd-499-GT_TOPIC_carcass,f4b610f9-5bfd-499
wpi,0.8260869565217391,23,f4b610f9-5bfd-499-GT_TOPIC_wpi,f4b610f9-5bfd-499
money-supply,0.3443708609271523,151,f4b610f9-5bfd-499-GT_TOPIC_money-supply,f4b610f9-5bfd-499
lei,0.7142857142857143,14,a9204224-881c-4e2-GT_TOPIC_lei,a9204224-881c-4e2
nzdlr,1.0,1,a9204224-881c-4e2-GT_TOPIC_nzdlr,a9204224-881c-4e2
nickel,1.0,4,a9204224-881c-4e2-GT_TOPIC_nickel,a9204224-881c-4e2
gold,0.8222222222222222,90,a9204224-881c-4e2-GT_TOPIC_gold,a9204224-881c-4e2
naphtha,1.0,1,a9204224-881c-4e2-GT_TOPIC_naphtha,a9204224-881c-4e2
jet,1.0,3,a9204224-881c-4e2-GT_TOPIC_jet,a9204224-881c-4e2
livestock,0.6818181818181818,22,a9204224-881c-4e2-GT_TOPIC_livestock,a9204224-881c-4e2
money-fx,0.6375404530744336,309,a9204224-881c-4e2-GT_TOPIC_money-fx,a9204224-881c-4e2
earn,0.5916390517461126,3923,a9204224-881c-4e2-GT_TOPIC_earn,a9204224-881c-4e2
yen,1.0,6,a9204224-881c-4e2-GT_TOPIC_yen,a9204224-881c-4e2
copper,0.6136363636363636,44,a9204224-881c-4e2-GT_TOPIC_copper,a9204224-881c-4e2
lead,0.625,8,a9204224-881c-4e2-GT_TOPIC_lead,a9204224-881c-4e2
iron-steel,0.9473684210526315,38,a9204224-881c-4e2-GT_TOPIC_iron-steel,a9204224-881c-4e2
instal-debt,0.5,6,a9204224-881c-4e2-GT_TOPIC_instal-debt,a9204224-881c-4e2
dmk,1.0,1,a9204224-881c-4e2-GT_TOPIC_dmk,a9204224-881c-4e2
tin,0.8888888888888888,27,a9204224-881c-4e2-GT_TOPIC_tin,a9204224-881c-4e2
interest,0.6213235294117647,272,a9204224-881c-4e2-GT_TOPIC_interest,a9204224-881c-4e2
cpu,0.75,4,a9204224-881c-4e2-GT_TOPIC_cpu,a9204224-881c-4e2
jobs,0.5102040816326531,49,a9204224-881c-4e2-GT_TOPIC_jobs,a9204224-881c-4e2
grain,0.8627450980392157,51,a9204224-881c-4e2-GT_TOPIC_grain,a9204224-881c-4e2
housing,0.9411764705882353,17,a9204224-881c-4e2-GT_TOPIC_housing,a9204224-881c-4e2
nat-gas,0.8888888888888888,36,a9204224-881c-4e2-GT_TOPIC_nat-gas,a9204224-881c-4e2
orange,0.5909090909090909,22,a9204224-881c-4e2-GT_TOPIC_orange,a9204224-881c-4e2
gnp,0.8513513513513513,74,a9204224-881c-4e2-GT_TOPIC_gnp,a9204224-881c-4e2
tea,1.0,5,a9204224-881c-4e2-GT_TOPIC_tea,a9204224-881c-4e2
income,0.36363636363636365,11,a9204224-881c-4e2-GT_TOPIC_income,a9204224-881c-4e2
coconut,1.0,1,a9204224-881c-4e2-GT_TOPIC_coconut,a9204224-881c-4e2
rice,1.0,1,a9204224-881c-4e2-GT_TOPIC_rice,a9204224-881c-4e2
cocoa,0.9344262295081968,61,a9204224-881c-4e2-GT_TOPIC_cocoa,a9204224-881c-4e2
rand,1.0,1,a9204224-881c-4e2-GT_TOPIC_rand,a9204224-881c-4e2
sugar,0.8852459016393442,122,a9204224-881c-4e2-GT_TOPIC_sugar,a9204224-881c-4e2
gas,0.7777777777777778,18,a9204224-881c-4e2-GT_TOPIC_gas,a9204224-881c-4e2
strategic-metal,0.8666666666666667,15,a9204224-881c-4e2-GT_TOPIC_strategic-metal,a9204224-881c-4e2
pet-chem,0.7368421052631579,19,a9204224-881c-4e2-GT_TOPIC_pet-chem,a9204224-881c-4e2
ship,0.8819444444444444,144,a9204224-881c-4e2-GT_TOPIC_ship,a9204224-881c-4e2
groundnut,1.0,2,a9204224-881c-4e2-GT_TOPIC_groundnut,a9204224-881c-4e2
silver,0.75,4,a9204224-881c-4e2-GT_TOPIC_silver,a9204224-881c-4e2
l-cattle,1.0,1,a9204224-881c-4e2-GT_TOPIC_l-cattle,a9204224-881c-4e2
reserves,0.46938775510204084,49,a9204224-881c-4e2-GT_TOPIC_reserves,a9204224-881c-4e2
bop,0.5483870967741935,31,a9204224-881c-4e2-GT_TOPIC_bop,a9204224-881c-4e2
heat,0.8,10,a9204224-881c-4e2-GT_TOPIC_heat,a9204224-881c-4e2
platinum,1.0,3,a9204224-881c-4e2-GT_TOPIC_platinum,a9204224-881c-4e2
oilseed,0.8888888888888888,9,a9204224-881c-4e2-GT_TOPIC_oilseed,a9204224-881c-4e2
cotton,0.9166666666666666,24,a9204224-881c-4e2-GT_TOPIC_cotton,a9204224-881c-4e2
dlr,1.0,6,a9204224-881c-4e2-GT_TOPIC_dlr,a9204224-881c-4e2
propane,1.0,1,a9204224-881c-4e2-GT_TOPIC_propane,a9204224-881c-4e2
zinc,0.7692307692307693,13,a9204224-881c-4e2-GT_TOPIC_zinc,a9204224-881c-4e2
ipi,0.5333333333333333,45,a9204224-881c-4e2-GT_TOPIC_ipi,a9204224-881c-4e2
trade,0.9202453987730062,326,a9204224-881c-4e2-GT_TOPIC_trade,a9204224-881c-4e2
rubber,0.975,40,a9204224-881c-4e2-GT_TOPIC_rubber,a9204224-881c-4e2
retail,0.5,20,a9204224-881c-4e2-GT_TOPIC_retail,a9204224-881c-4e2
crude,0.7406417112299465,374,a9204224-881c-4e2-GT_TOPIC_crude,a9204224-881c-4e2
veg-oil,0.9,30,a9204224-881c-4e2-GT_TOPIC_veg-oil,a9204224-881c-4e2
potato,0.4,5,a9204224-881c-4e2-GT_TOPIC_potato,a9204224-881c-4e2
acq,0.8433682373472949,2292,a9204224-881c-4e2-GT_TOPIC_acq,a9204224-881c-4e2
alum,0.76,50,a9204224-881c-4e2-GT_TOPIC_alum,a9204224-881c-4e2
fuel,0.9090909090909091,11,a9204224-881c-4e2-GT_TOPIC_fuel,a9204224-881c-4e2
cpi,0.6197183098591549,71,a9204224-881c-4e2-GT_TOPIC_cpi,a9204224-881c-4e2
meal-feed,1.0,11,a9204224-881c-4e2-GT_TOPIC_meal-feed,a9204224-881c-4e2
lumber,1.0,14,a9204224-881c-4e2-GT_TOPIC_lumber,a9204224-881c-4e2
hog,1.0,1,a9204224-881c-4e2-GT_TOPIC_hog,a9204224-881c-4e2
coffee,0.8928571428571429,112,a9204224-881c-4e2-GT_TOPIC_coffee,a9204224-881c-4e2
carcass,0.9090909090909091,11,a9204224-881c-4e2-GT_TOPIC_carcass,a9204224-881c-4e2
wpi,0.6086956521739131,23,a9204224-881c-4e2-GT_TOPIC_wpi,a9204224-881c-4e2
money-supply,0.33774834437086093,151,a9204224-881c-4e2-GT_TOPIC_money-supply,a9204224-881c-4e2
lei,1.0,14,939e78b3-0716-474-GT_TOPIC_lei,939e78b3-0716-474
nzdlr,1.0,1,939e78b3-0716-474-GT_TOPIC_nzdlr,939e78b3-0716-474
nickel,0.75,4,939e78b3-0716-474-GT_TOPIC_nickel,939e78b3-0716-474
gold,0.4888888888888889,90,939e78b3-0716-474-GT_TOPIC_gold,939e78b3-0716-474
naphtha,1.0,1,939e78b3-0716-474-GT_TOPIC_naphtha,939e78b3-0716-474
jet,0.6666666666666666,3,939e78b3-0716-474-GT_TOPIC_jet,939e78b3-0716-474
livestock,0.4090909090909091,22,939e78b3-0716-474-GT_TOPIC_livestock,939e78b3-0716-474
money-fx,0.44983818770226536,309,939e78b3-0716-474-GT_TOPIC_money-fx,939e78b3-0716-474
earn,0.5931684934998726,3923,939e78b3-0716-474-GT_TOPIC_earn,939e78b3-0716-474
yen,1.0,6,939e78b3-0716-474-GT_TOPIC_yen,939e78b3-0716-474
copper,0.4090909090909091,44,939e78b3-0716-474-GT_TOPIC_copper,939e78b3-0716-474
lead,0.75,8,939e78b3-0716-474-GT_TOPIC_lead,939e78b3-0716-474
iron-steel,0.6578947368421053,38,939e78b3-0716-474-GT_TOPIC_iron-steel,939e78b3-0716-474
instal-debt,0.8333333333333334,6,939e78b3-0716-474-GT_TOPIC_instal-debt,939e78b3-0716-474
dmk,1.0,1,939e78b3-0716-474-GT_TOPIC_dmk,939e78b3-0716-474
tin,0.8148148148148148,27,939e78b3-0716-474-GT_TOPIC_tin,939e78b3-0716-474
interest,0.33455882352941174,272,939e78b3-0716-474-GT_TOPIC_interest,939e78b3-0716-474
cpu,1.0,4,939e78b3-0716-474-GT_TOPIC_cpu,939e78b3-0716-474
jobs,0.8367346938775511,49,939e78b3-0716-474-GT_TOPIC_jobs,939e78b3-0716-474
grain,0.6078431372549019,51,939e78b3-0716-474-GT_TOPIC_grain,939e78b3-0716-474
housing,0.8823529411764706,17,939e78b3-0716-474-GT_TOPIC_housing,939e78b3-0716-474
nat-gas,0.8055555555555556,36,939e78b3-0716-474-GT_TOPIC_nat-gas,939e78b3-0716-474
orange,0.36363636363636365,22,939e78b3-0716-474-GT_TOPIC_orange,939e78b3-0716-474
gnp,0.8378378378378378,74,939e78b3-0716-474-GT_TOPIC_gnp,939e78b3-0716-474
tea,0.6,5,939e78b3-0716-474-GT_TOPIC_tea,939e78b3-0716-474
income,1.0,11,939e78b3-0716-474-GT_TOPIC_income,939e78b3-0716-474
coconut,1.0,1,939e78b3-0716-474-GT_TOPIC_coconut,939e78b3-0716-474
rice,1.0,1,939e78b3-0716-474-GT_TOPIC_rice,939e78b3-0716-474
cocoa,0.6229508196721312,61,939e78b3-0716-474-GT_TOPIC_cocoa,939e78b3-0716-474
rand,1.0,1,939e78b3-0716-474-GT_TOPIC_rand,939e78b3-0716-474
sugar,0.4426229508196721,122,939e78b3-0716-474-GT_TOPIC_sugar,939e78b3-0716-474
gas,0.6111111111111112,18,939e78b3-0716-474-GT_TOPIC_gas,939e78b3-0716-474
strategic-metal,0.6666666666666666,15,939e78b3-0716-474-GT_TOPIC_strategic-metal,939e78b3-0716-474
pet-chem,0.3684210526315789,19,939e78b3-0716-474-GT_TOPIC_pet-chem,939e78b3-0716-474
ship,0.7430555555555556,144,939e78b3-0716-474-GT_TOPIC_ship,939e78b3-0716-474
groundnut,0.5,2,939e78b3-0716-474-GT_TOPIC_groundnut,939e78b3-0716-474
silver,0.5,4,939e78b3-0716-474-GT_TOPIC_silver,939e78b3-0716-474
l-cattle,1.0,1,939e78b3-0716-474-GT_TOPIC_l-cattle,939e78b3-0716-474
reserves,0.9387755102040817,49,939e78b3-0716-474-GT_TOPIC_reserves,939e78b3-0716-474
bop,0.9032258064516129,31,939e78b3-0716-474-GT_TOPIC_bop,939e78b3-0716-474
heat,0.4,10,939e78b3-0716-474-GT_TOPIC_heat,939e78b3-0716-474
platinum,1.0,3,939e78b3-0716-474-GT_TOPIC_platinum,939e78b3-0716-474
oilseed,0.7777777777777778,9,939e78b3-0716-474-GT_TOPIC_oilseed,939e78b3-0716-474
cotton,0.5833333333333334,24,939e78b3-0716-474-GT_TOPIC_cotton,939e78b3-0716-474
dlr,0.6666666666666666,6,939e78b3-0716-474-GT_TOPIC_dlr,939e78b3-0716-474
propane,1.0,1,939e78b3-0716-474-GT_TOPIC_propane,939e78b3-0716-474
zinc,0.46153846153846156,13,939e78b3-0716-474-GT_TOPIC_zinc,939e78b3-0716-474
ipi,0.9111111111111111,45,939e78b3-0716-474-GT_TOPIC_ipi,939e78b3-0716-474
trade,0.7852760736196319,326,939e78b3-0716-474-GT_TOPIC_trade,939e78b3-0716-474
rubber,0.725,40,939e78b3-0716-474-GT_TOPIC_rubber,939e78b3-0716-474
retail,0.95,20,939e78b3-0716-474-GT_TOPIC_retail,939e78b3-0716-474
crude,0.6363636363636364,374,939e78b3-0716-474-GT_TOPIC_crude,939e78b3-0716-474
veg-oil,0.8,30,939e78b3-0716-474-GT_TOPIC_veg-oil,939e78b3-0716-474
potato,0.6,5,939e78b3-0716-474-GT_TOPIC_potato,939e78b3-0716-474
acq,0.7539267015706806,2292,939e78b3-0716-474-GT_TOPIC_acq,939e78b3-0716-474
alum,0.38,50,939e78b3-0716-474-GT_TOPIC_alum,939e78b3-0716-474
