"run_id","action_impact","action_type","metric","metric_score"
"e61570d4-a8bb-4a2","prep","Remove ubiqitous words","fmi",0.383293330389942
"e61570d4-a8bb-4a2","prep","Remove ubiqitous words","silhouette_overall",0.0329421776922304
"e61570d4-a8bb-4a2","prep","Remove ubiqitous words","homogeneity",0.287863189182813
"e61570d4-a8bb-4a2","prep","Remove ubiqitous words","completness",0.319060539597704
"e61570d4-a8bb-4a2","prep","Remove ubiqitous words","v_measure",0.302660054684396
"c7eb2404-009a-416","prep","Remove ubiqitous words","accuracy_overall",0.827727598990015
"c7eb2404-009a-416","prep","Remove ubiqitous words","accuracy_overall_weighted",0.661899563318777
"c7eb2404-009a-416","prep","Remove ubiqitous words","f1",0.376727272727273
"c7eb2404-009a-416","prep","Remove ubiqitous words","fmi",0.383293330389942
"c7eb2404-009a-416","prep","Remove ubiqitous words","silhouette_overall",0.0329421776922304
"c7eb2404-009a-416","prep","Remove ubiqitous words","homogeneity",0.287863189182813
"c7eb2404-009a-416","prep","Remove ubiqitous words","completness",0.319060539597704
"c7eb2404-009a-416","prep","Remove ubiqitous words","v_measure",0.302660054684396
"51c60894-0b8e-464","prep","Remove ubiqitous words","accuracy_overall",0.715064449269842
"51c60894-0b8e-464","prep","Remove ubiqitous words","accuracy_overall_weighted",0.621288209606987
"51c60894-0b8e-464","prep","Remove ubiqitous words","f1",0.407504539035707
"51c60894-0b8e-464","prep","Remove ubiqitous words","fmi",0.405547617727825
"51c60894-0b8e-464","prep","Remove ubiqitous words","silhouette_overall",0.0393902457754784
"51c60894-0b8e-464","prep","Remove ubiqitous words","homogeneity",0.328778671786426
"51c60894-0b8e-464","prep","Remove ubiqitous words","completness",0.320775960811346
"51c60894-0b8e-464","prep","Remove ubiqitous words","v_measure",0.324728018380176
"e1d07b36-2945-4d5","prep","Do not stem words","accuracy_overall",0.784610760241906
"e1d07b36-2945-4d5","prep","Do not stem words","accuracy_overall_weighted",0.679803493449782
"e1d07b36-2945-4d5","prep","Do not stem words","f1",0.402701715954728
"e1d07b36-2945-4d5","prep","Do not stem words","fmi",0.404832641548703
"e1d07b36-2945-4d5","prep","Do not stem words","silhouette_overall",0.0425330412706698
"e1d07b36-2945-4d5","prep","Do not stem words","homogeneity",0.289404844293497
"e1d07b36-2945-4d5","prep","Do not stem words","completness",0.323979543005344
"e1d07b36-2945-4d5","prep","Do not stem words","v_measure",0.305717755910404
"a4570aa7-a8f9-467","prep","Remove documents from corpus","accuracy_overall",0.576255214057095
"a4570aa7-a8f9-467","prep","Remove documents from corpus","accuracy_overall_weighted",0.516448326055313
"a4570aa7-a8f9-467","prep","Remove documents from corpus","f1",0.431004690199951
"a4570aa7-a8f9-467","prep","Remove documents from corpus","fmi",0.45326563492949
"a4570aa7-a8f9-467","prep","Remove documents from corpus","silhouette_overall",0.0487006553007319
"a4570aa7-a8f9-467","prep","Remove documents from corpus","homogeneity",0.378737324907428
"a4570aa7-a8f9-467","prep","Remove documents from corpus","completness",0.314116250487574
"a4570aa7-a8f9-467","prep","Remove documents from corpus","v_measure",0.343413248179577
"3fc84a88-d34f-446","prep","Remove documents from corpus","accuracy_overall",0.723240390829219
"3fc84a88-d34f-446","prep","Remove documents from corpus","accuracy_overall_weighted",0.624017467248908
"3fc84a88-d34f-446","prep","Remove documents from corpus","f1",0.376061776061776
"3fc84a88-d34f-446","prep","Remove documents from corpus","fmi",0.381167050744831
"3fc84a88-d34f-446","prep","Remove documents from corpus","silhouette_overall",0.0372846589499586
"3fc84a88-d34f-446","prep","Remove documents from corpus","homogeneity",0.293236397063768
"3fc84a88-d34f-446","prep","Remove documents from corpus","completness",0.301694911156085
"3fc84a88-d34f-446","prep","Remove documents from corpus","v_measure",0.297405524091837
"2d582b0a-46a1-48f","model","Change LDA Number of Topics","accuracy_overall",0.848052494285586
"2d582b0a-46a1-48f","model","Change LDA Number of Topics","accuracy_overall_weighted",0.695305676855895
"2d582b0a-46a1-48f","model","Change LDA Number of Topics","f1",0.392176698701737
"2d582b0a-46a1-48f","model","Change LDA Number of Topics","fmi",0.39159674534333
"2d582b0a-46a1-48f","model","Change LDA Number of Topics","silhouette_overall",0.0368487214112689
"2d582b0a-46a1-48f","model","Change LDA Number of Topics","homogeneity",0.25959173530916
"2d582b0a-46a1-48f","model","Change LDA Number of Topics","completness",0.31917564104098
"2d582b0a-46a1-48f","model","Change LDA Number of Topics","v_measure",0.286316616699266
"6fe563fe-5294-4d9","model","Change LDA Number of Topics","accuracy_overall",0.990554368785269
"6fe563fe-5294-4d9","model","Change LDA Number of Topics","accuracy_overall_weighted",0.901855895196507
"6fe563fe-5294-4d9","model","Change LDA Number of Topics","f1",0.467607040319561
"6fe563fe-5294-4d9","model","Change LDA Number of Topics","fmi",0.50517685481823
"6fe563fe-5294-4d9","model","Change LDA Number of Topics","silhouette_overall",0.0495294617600022
"6fe563fe-5294-4d9","model","Change LDA Number of Topics","homogeneity",0.183782382275187
"6fe563fe-5294-4d9","model","Change LDA Number of Topics","completness",0.603854728613836
"6fe563fe-5294-4d9","model","Change LDA Number of Topics","v_measure",0.281799470945507
"e353f90b-6400-4ce","metrics","Merge clusters together","accuracy_overall",0.708052174065666
"e353f90b-6400-4ce","metrics","Merge clusters together","accuracy_overall_weighted",0.64268558951965
"e353f90b-6400-4ce","metrics","Merge clusters together","f1",0.501175967500535
"e353f90b-6400-4ce","metrics","Merge clusters together","fmi",0.489842668512342
"e353f90b-6400-4ce","metrics","Merge clusters together","silhouette_overall",0.0445914594527321
"e353f90b-6400-4ce","metrics","Merge clusters together","homogeneity",0.372021920782335
"e353f90b-6400-4ce","metrics","Merge clusters together","completness",0.385163885800985
"e353f90b-6400-4ce","metrics","Merge clusters together","v_measure",0.378478855165659
"6e758c9b-a817-460","metrics","Merge clusters together","accuracy_overall",0.782860363768703
"6e758c9b-a817-460","metrics","Merge clusters together","accuracy_overall_weighted",0.607860262008734
"6e758c9b-a817-460","metrics","Merge clusters together","f1",0.374453921364677
"6e758c9b-a817-460","metrics","Merge clusters together","fmi",0.396651997029808
"6e758c9b-a817-460","metrics","Merge clusters together","silhouette_overall",0.0389296971468946
"6e758c9b-a817-460","metrics","Merge clusters together","homogeneity",0.309787639282697
"6e758c9b-a817-460","metrics","Merge clusters together","completness",0.325325891758682
"6e758c9b-a817-460","metrics","Merge clusters together","v_measure",0.317366691401491
"ca16947f-ba8d-4a5","metrics","Split one cluster apart","accuracy_overall",0.805514539710148
"ca16947f-ba8d-4a5","metrics","Split one cluster apart","accuracy_overall_weighted",0.649344978165939
"ca16947f-ba8d-4a5","metrics","Split one cluster apart","f1",0.402006316180568
"ca16947f-ba8d-4a5","metrics","Split one cluster apart","fmi",0.387681247343506
"ca16947f-ba8d-4a5","metrics","Split one cluster apart","silhouette_overall",0.0382962945561496
"ca16947f-ba8d-4a5","metrics","Split one cluster apart","homogeneity",0.299655213629368
"ca16947f-ba8d-4a5","metrics","Split one cluster apart","completness",0.322019815444701
"ca16947f-ba8d-4a5","metrics","Split one cluster apart","v_measure",0.310435234092295
"50b029ec-6354-4a1","metrics","Split one cluster apart","accuracy_overall",0.805514539710148
"50b029ec-6354-4a1","metrics","Split one cluster apart","accuracy_overall_weighted",0.649344978165939
"50b029ec-6354-4a1","metrics","Split one cluster apart","f1",0.375659382064808
"50b029ec-6354-4a1","metrics","Split one cluster apart","fmi",0.387681247343506
"50b029ec-6354-4a1","metrics","Split one cluster apart","silhouette_overall",0.0382962945561496
"50b029ec-6354-4a1","metrics","Split one cluster apart","homogeneity",0.299655213629368
"50b029ec-6354-4a1","metrics","Split one cluster apart","completness",0.322019815444701
"50b029ec-6354-4a1","metrics","Split one cluster apart","v_measure",0.310435234092295
"acb11ed8-b701-46e","metrics","Split one cluster apart","accuracy_overall",0.805514539710148
"acb11ed8-b701-46e","metrics","Split one cluster apart","accuracy_overall_weighted",0.649344978165939
"acb11ed8-b701-46e","metrics","Split one cluster apart","f1",0.402234636871508
"acb11ed8-b701-46e","metrics","Split one cluster apart","fmi",0.387681247343506
"acb11ed8-b701-46e","metrics","Split one cluster apart","silhouette_overall",0.0382962945561496
"acb11ed8-b701-46e","metrics","Split one cluster apart","homogeneity",0.299655213629368
"acb11ed8-b701-46e","metrics","Split one cluster apart","completness",0.322019815444701
"acb11ed8-b701-46e","metrics","Split one cluster apart","v_measure",0.310435234092295
