run_id,topic_id,count
baseline_run,baseline_run-TOPIC_0,54
baseline_run,baseline_run-TOPIC_1,7
baseline_run,baseline_run-TOPIC_10,12
baseline_run,baseline_run-TOPIC_11,552
baseline_run,baseline_run-TOPIC_12,14
baseline_run,baseline_run-TOPIC_13,104
baseline_run,baseline_run-TOPIC_14,2320
baseline_run,baseline_run-TOPIC_15,26
baseline_run,baseline_run-TOPIC_16,19
baseline_run,baseline_run-TOPIC_17,13
baseline_run,baseline_run-TOPIC_18,8
baseline_run,baseline_run-TOPIC_19,16
baseline_run,baseline_run-TOPIC_2,26
baseline_run,baseline_run-TOPIC_20,25
baseline_run,baseline_run-TOPIC_21,179
baseline_run,baseline_run-TOPIC_22,10
baseline_run,baseline_run-TOPIC_23,241
baseline_run,baseline_run-TOPIC_24,5
baseline_run,baseline_run-TOPIC_25,173
baseline_run,baseline_run-TOPIC_26,5
baseline_run,baseline_run-TOPIC_27,36
baseline_run,baseline_run-TOPIC_28,9
baseline_run,baseline_run-TOPIC_29,12
baseline_run,baseline_run-TOPIC_3,17
baseline_run,baseline_run-TOPIC_30,146
baseline_run,baseline_run-TOPIC_31,14
baseline_run,baseline_run-TOPIC_32,33
baseline_run,baseline_run-TOPIC_33,9
baseline_run,baseline_run-TOPIC_34,15
baseline_run,baseline_run-TOPIC_35,12
baseline_run,baseline_run-TOPIC_36,36
baseline_run,baseline_run-TOPIC_37,6
baseline_run,baseline_run-TOPIC_38,14
baseline_run,baseline_run-TOPIC_39,21
baseline_run,baseline_run-TOPIC_4,15
baseline_run,baseline_run-TOPIC_40,18
baseline_run,baseline_run-TOPIC_41,64
baseline_run,baseline_run-TOPIC_42,8
baseline_run,baseline_run-TOPIC_43,5
baseline_run,baseline_run-TOPIC_44,9
baseline_run,baseline_run-TOPIC_45,18
baseline_run,baseline_run-TOPIC_46,7
baseline_run,baseline_run-TOPIC_47,14
baseline_run,baseline_run-TOPIC_48,8
baseline_run,baseline_run-TOPIC_49,11
baseline_run,baseline_run-TOPIC_5,11
baseline_run,baseline_run-TOPIC_50,14
baseline_run,baseline_run-TOPIC_51,76
baseline_run,baseline_run-TOPIC_52,59
baseline_run,baseline_run-TOPIC_53,14
baseline_run,baseline_run-TOPIC_54,10
baseline_run,baseline_run-TOPIC_55,7
baseline_run,baseline_run-TOPIC_56,18
baseline_run,baseline_run-TOPIC_57,9
baseline_run,baseline_run-TOPIC_58,4395
baseline_run,baseline_run-TOPIC_59,9
baseline_run,baseline_run-TOPIC_6,14
baseline_run,baseline_run-TOPIC_60,85
baseline_run,baseline_run-TOPIC_61,20
baseline_run,baseline_run-TOPIC_62,12
baseline_run,baseline_run-TOPIC_63,5
baseline_run,baseline_run-TOPIC_64,12
baseline_run,baseline_run-TOPIC_7,5
baseline_run,baseline_run-TOPIC_8,12
baseline_run,baseline_run-TOPIC_9,7
2d582b0a-46a1-48f,2d582b0a-46a1-48f-TOPIC_0,62
2d582b0a-46a1-48f,2d582b0a-46a1-48f-TOPIC_1,11
2d582b0a-46a1-48f,2d582b0a-46a1-48f-TOPIC_10,6
2d582b0a-46a1-48f,2d582b0a-46a1-48f-TOPIC_11,15
2d582b0a-46a1-48f,2d582b0a-46a1-48f-TOPIC_12,16
2d582b0a-46a1-48f,2d582b0a-46a1-48f-TOPIC_13,31
2d582b0a-46a1-48f,2d582b0a-46a1-48f-TOPIC_14,41
2d582b0a-46a1-48f,2d582b0a-46a1-48f-TOPIC_15,12
2d582b0a-46a1-48f,2d582b0a-46a1-48f-TOPIC_16,14
2d582b0a-46a1-48f,2d582b0a-46a1-48f-TOPIC_17,29
2d582b0a-46a1-48f,2d582b0a-46a1-48f-TOPIC_18,17
2d582b0a-46a1-48f,2d582b0a-46a1-48f-TOPIC_19,9
2d582b0a-46a1-48f,2d582b0a-46a1-48f-TOPIC_2,12
2d582b0a-46a1-48f,2d582b0a-46a1-48f-TOPIC_20,20
2d582b0a-46a1-48f,2d582b0a-46a1-48f-TOPIC_21,4793
2d582b0a-46a1-48f,2d582b0a-46a1-48f-TOPIC_22,15
2d582b0a-46a1-48f,2d582b0a-46a1-48f-TOPIC_23,11
2d582b0a-46a1-48f,2d582b0a-46a1-48f-TOPIC_24,25
2d582b0a-46a1-48f,2d582b0a-46a1-48f-TOPIC_25,7
2d582b0a-46a1-48f,2d582b0a-46a1-48f-TOPIC_26,12
2d582b0a-46a1-48f,2d582b0a-46a1-48f-TOPIC_27,103
2d582b0a-46a1-48f,2d582b0a-46a1-48f-TOPIC_28,12
2d582b0a-46a1-48f,2d582b0a-46a1-48f-TOPIC_29,14
2d582b0a-46a1-48f,2d582b0a-46a1-48f-TOPIC_3,9
2d582b0a-46a1-48f,2d582b0a-46a1-48f-TOPIC_30,28
2d582b0a-46a1-48f,2d582b0a-46a1-48f-TOPIC_31,13
2d582b0a-46a1-48f,2d582b0a-46a1-48f-TOPIC_32,24
2d582b0a-46a1-48f,2d582b0a-46a1-48f-TOPIC_33,14
2d582b0a-46a1-48f,2d582b0a-46a1-48f-TOPIC_34,18
2d582b0a-46a1-48f,2d582b0a-46a1-48f-TOPIC_35,8
2d582b0a-46a1-48f,2d582b0a-46a1-48f-TOPIC_36,10
2d582b0a-46a1-48f,2d582b0a-46a1-48f-TOPIC_37,11
2d582b0a-46a1-48f,2d582b0a-46a1-48f-TOPIC_38,11
2d582b0a-46a1-48f,2d582b0a-46a1-48f-TOPIC_39,11
2d582b0a-46a1-48f,2d582b0a-46a1-48f-TOPIC_4,6
2d582b0a-46a1-48f,2d582b0a-46a1-48f-TOPIC_40,22
2d582b0a-46a1-48f,2d582b0a-46a1-48f-TOPIC_41,13
2d582b0a-46a1-48f,2d582b0a-46a1-48f-TOPIC_42,16
2d582b0a-46a1-48f,2d582b0a-46a1-48f-TOPIC_43,10
2d582b0a-46a1-48f,2d582b0a-46a1-48f-TOPIC_44,11
2d582b0a-46a1-48f,2d582b0a-46a1-48f-TOPIC_45,50
2d582b0a-46a1-48f,2d582b0a-46a1-48f-TOPIC_46,15
2d582b0a-46a1-48f,2d582b0a-46a1-48f-TOPIC_47,6
