run_id,topic_id,top_doc_order,top_doc_prob,top_doc
5a940668-2ef6-4d2,5a940668-2ef6-4d2-TOPIC_0,1,0.446691692896643,test/19631
5a940668-2ef6-4d2,5a940668-2ef6-4d2-TOPIC_0,2,0.434572305653319,training/2163
5a940668-2ef6-4d2,5a940668-2ef6-4d2-TOPIC_0,3,0.430039545039198,test/17683
5a940668-2ef6-4d2,5a940668-2ef6-4d2-TOPIC_0,4,0.418588490831241,training/11201
5a940668-2ef6-4d2,5a940668-2ef6-4d2-TOPIC_0,5,0.418452538937783,training/6188
5a940668-2ef6-4d2,5a940668-2ef6-4d2-TOPIC_0,6,0.41714111721324,test/15561
5a940668-2ef6-4d2,5a940668-2ef6-4d2-TOPIC_0,7,0.384177681711479,training/4925
5a940668-2ef6-4d2,5a940668-2ef6-4d2-TOPIC_0,8,0.378122766218294,test/14899
5a940668-2ef6-4d2,5a940668-2ef6-4d2-TOPIC_0,9,0.378069370630183,training/5609
5a940668-2ef6-4d2,5a940668-2ef6-4d2-TOPIC_0,10,0.354416883903312,test/16033
5a940668-2ef6-4d2,5a940668-2ef6-4d2-TOPIC_0,11,0.351029227558625,training/186
5a940668-2ef6-4d2,5a940668-2ef6-4d2-TOPIC_0,12,0.33958988227827,training/4344
5a940668-2ef6-4d2,5a940668-2ef6-4d2-TOPIC_0,13,0.334569685756584,test/19461
5a940668-2ef6-4d2,5a940668-2ef6-4d2-TOPIC_0,14,0.331628086027258,training/7840
5a940668-2ef6-4d2,5a940668-2ef6-4d2-TOPIC_0,15,0.329288110232103,training/6514
5a940668-2ef6-4d2,5a940668-2ef6-4d2-TOPIC_0,16,0.315956734535717,training/4064
5a940668-2ef6-4d2,5a940668-2ef6-4d2-TOPIC_0,17,0.313439494909182,test/16873
5a940668-2ef6-4d2,5a940668-2ef6-4d2-TOPIC_0,18,0.309946021637233,training/5754
5a940668-2ef6-4d2,5a940668-2ef6-4d2-TOPIC_0,19,0.307773185984307,training/2027
5a940668-2ef6-4d2,5a940668-2ef6-4d2-TOPIC_0,20,0.304590313651082,test/19470
5a940668-2ef6-4d2,5a940668-2ef6-4d2-TOPIC_1,1,0.7358720767033,training/7574
5a940668-2ef6-4d2,5a940668-2ef6-4d2-TOPIC_1,2,0.58336009306694,test/20055
5a940668-2ef6-4d2,5a940668-2ef6-4d2-TOPIC_1,3,0.415638686093436,training/5743
5a940668-2ef6-4d2,5a940668-2ef6-4d2-TOPIC_1,4,0.375651559235153,training/2714
5a940668-2ef6-4d2,5a940668-2ef6-4d2-TOPIC_1,5,0.368211837867907,test/19830
5a940668-2ef6-4d2,5a940668-2ef6-4d2-TOPIC_1,6,0.365818083142642,training/401
5a940668-2ef6-4d2,5a940668-2ef6-4d2-TOPIC_1,7,0.360408182724552,training/398
5a940668-2ef6-4d2,5a940668-2ef6-4d2-TOPIC_1,8,0.358173847935195,training/8543
5a940668-2ef6-4d2,5a940668-2ef6-4d2-TOPIC_1,9,0.346819790301002,training/2528
5a940668-2ef6-4d2,5a940668-2ef6-4d2-TOPIC_1,10,0.345931062838028,training/11679
5a940668-2ef6-4d2,5a940668-2ef6-4d2-TOPIC_1,11,0.339063802385369,test/17950
5a940668-2ef6-4d2,5a940668-2ef6-4d2-TOPIC_1,12,0.325571625506995,training/1584
5a940668-2ef6-4d2,5a940668-2ef6-4d2-TOPIC_1,13,0.315859328154981,training/8704
5a940668-2ef6-4d2,5a940668-2ef6-4d2-TOPIC_1,14,0.310894121739905,test/21318
5a940668-2ef6-4d2,5a940668-2ef6-4d2-TOPIC_1,15,0.298799103180652,training/5597
5a940668-2ef6-4d2,5a940668-2ef6-4d2-TOPIC_1,16,0.296425238561144,training/408
5a940668-2ef6-4d2,5a940668-2ef6-4d2-TOPIC_1,17,0.294676836298436,test/16444
5a940668-2ef6-4d2,5a940668-2ef6-4d2-TOPIC_1,18,0.292458313795199,training/8780
5a940668-2ef6-4d2,5a940668-2ef6-4d2-TOPIC_1,19,0.291097249187369,test/19874
5a940668-2ef6-4d2,5a940668-2ef6-4d2-TOPIC_1,20,0.290134762523602,training/10348
5a940668-2ef6-4d2,5a940668-2ef6-4d2-TOPIC_2,1,0.738711587740201,training/1331
5a940668-2ef6-4d2,5a940668-2ef6-4d2-TOPIC_2,2,0.735699786137939,training/6294
5a940668-2ef6-4d2,5a940668-2ef6-4d2-TOPIC_2,3,0.718235793640492,training/3976
5a940668-2ef6-4d2,5a940668-2ef6-4d2-TOPIC_2,4,0.445103695843725,test/19939
5a940668-2ef6-4d2,5a940668-2ef6-4d2-TOPIC_2,5,0.418657339124307,training/9473
5a940668-2ef6-4d2,5a940668-2ef6-4d2-TOPIC_2,6,0.410180845403261,test/20489
5a940668-2ef6-4d2,5a940668-2ef6-4d2-TOPIC_2,7,0.406395670645338,training/9073
5a940668-2ef6-4d2,5a940668-2ef6-4d2-TOPIC_2,8,0.384692273426339,training/2564
5a940668-2ef6-4d2,5a940668-2ef6-4d2-TOPIC_2,9,0.383779743884974,training/11210
